ID_Caja;Codigo_Poliza;ID_Cliente;Numero_Recibo;Monto_Pago
52;IN-GL-000231;3;000000348;26.25
52;IN-GL-000232;3;000000349;26.25
52;IN-IL-003086;3;000000311;19.69
52;IN-IL-003088;3;000000312;1.31
52;IN-IL-003090;3;000000314;1.31
52;IN-IL-003092;3;000000315;1.31
52;IN-IL-003093;3;000000319;1.31
52;IN-IL-003094;3;000000323;1.31
52;IN-IL-003095;3;000000324;1.31
52;IN-IL-003097;3;000000325;1.31
52;IN-IL-003098;3;000000326;1.31
52;IN-IL-003101;3;000000330;1.31
52;IN-GL-000233;3;000000350;26.25
52;IN-IL-003089;3;000000313;1.31
52;GL000019;3;000000305;900
52;GL000021;3;000000305;300
52;IN-MUL-CONT-002010;3;B0100000012;192.6
52;IL003019;3;B0100000002;56.17
52;IL003020;3;B0100000003;56.17
52;GL000049;3;B0100000004;321
52;IN-IL-003023;3;B0100000005;16.05
52;IN-IL-003039;3;000000303;16.05
52;IN-BA-000027;3;B0100000006;112.35
52;IN-BPVC-004003;3;B0100000007;16.05
52;IN-BPVC-004004;3;B0100000008;240.75
52;IN-GL-000051;31;B0100000009;80.25
52;IN-GL-000056;31;000000300;32.1
52;IN-GL-000057;31;000000116;78.75
52;IN-GL-000062;31;000000301;78.75
52;IN-MUL-CONT-002015;31;B0100000031;180
52;IN-CN-005003;31;B0100000033;239.7
52;IN-CN-005005;31;000000266;251.45
52;IN-GL-000103;93;000000130;78.75
52;IN-BA-000032;3;B0100000037;1.61
52;IN-MUL-CONT-002026;12;000000083;192.6
52;IN-IL-003026;3;B0100000038;16.05
52;IN-GL-000082;31;B0100000039;107
52;IN-GL-000083;31;000000040;48.15
52;IN-GL-000088;31;000000054;2.38
52;IN-IL-003027;31;000000050;48.15
52;IN-IL-003030;3;000000051;16.05
52;IN-IL-003031;3;000000052;16.05
52;IN-IL-003032;3;000000053;80.25
52;IN-IL-003035;31;000000056;48.15
52;IN-MUL-CONT-002024;3;000000066;72.23
52;IN-GL-000089;3;000000065;8025
52;IN-GL-000096;31;000000068;4.01
52;IN-GL-000101;93;000000131;6.69
52;IN-IL-003041;29;000000077;1.61
52;IN-GL-000107;31;000000082;57.75
52;IN-BA-000057;29;000000084;214
52;IN-MUL-CONT-002027;29;000000085;72.23
52;IN-BA-000059;29;000000086;416.23
52;IN-BA-000061;11;000000088;984.4
52;IN-BA-000060;29;000000087;950.16
52;IN-IL-003042;3;000000089;16.05
52;IN-IL-003043;3;000000090;24.07
52;IN-IL-003047;29;000000095;6.69
52;IN-IL-003053;12;000000108;6.69
52;IN-GL-000115;31;000000112;13.13
52;IN-IL-003061;31;000000113;13.38
52;IN-GL-000121;31;000000121;157.5
52;IN-IL-003063;29;000000122;0.34
52;IN-IL-003064;12;000000123;4.44
52;IN-IL-003065;12;000000124;107
52;IN-IL-003066;12;000000125;0.27
52;IN-GL-000124;31;000000126;210
52;IN-IL-003067;12;000000127;160.5
52;IN-IL-003068;12;000000128;20.06
52;IN-IL-003069;12;000000129;151.58
52;IN-GL-000132;2;000000132;900
52;IN-GL-000133;31;000000133;150
52;IN-GL-000140;1;000000134;75
52;IN-GL-000097;31;000000069;5.41
52;RT-CAR-000008;29;000000137;10
52;RT-EE-000001;29;000000138;0.83
52;RT-RM-000001;29;000000140;0.83
52;RT-RM-000005;29;000000145;1
52;IN-GL-000146;1;000000150;7.5
52;IN-GL-000112;12;000000100;2.98
52;IN-IL-003049;29;000000103;6.69
52;IN-GL-000227;3;000000310;26.25
52;IN-GL-000143;3;000000146;26.25
52;IN-GL-000144;31;000000147;35
52;IN-GL-000145;31;000000148;43.63
52;IN-MUL-CONT-002058;31;000000159;22.25
52;IN-MUL-CONT-002059;2;000000170;7.5
52;IN-MUL-CONT-002060;1;000000175;90
52;IN-GL-000162;1;000000178;13.13
52;IN-GL-000170;31;000000186;35
52;IN-GL-000172;3;000000189;262.5
52;IN-GL-000098;31;000000070;4.07
52;IN-GL-000099;31;000000071;10.86
52;IN-GL-000100;93;000000073;5.42
52;IN-GL-000179;3;000000190;19.85
52;IN-MUL-CONT-002070;3;000000259;177.53
52;IN-GL-000182;10;000000195;26.25
52;IN-GL-000183;31;000000196;39.38
52;IN-GL-000185;31;000000205;39.38
52;IN-GL-000186;31;000000206;39.38
52;IN-GL-000195;3;000000264;19.7
